=== MASTER CARD RELATIVE SCORES (Filtered: >3 Copies) ===
Total Unique Cards (after filtering): 162
=======================================================

 Rel Val  Copies   Total Pts  Card Name
   -1.00       4x          -4  Glint Hawk
   -1.00      12x         -12  Journey to Nowhere
   -1.00       4x          -4  Hopeless Nightmare
   -1.00       4x          -4  Virus Beetle
   -1.00       4x          -4  Vampire's Kiss
   -1.07      15x         -16  Thraben Charm
   -1.20       5x          -6  Ancient Den
   -1.29      14x         -18  Prismatic Strands
   -1.43       7x         -10  Generous Ent
   -1.54      13x         -20  Faithless Looting
   -1.75      16x         -28  Lightning Bolt
   -1.84      55x        -101  Mountain
   -2.00       8x         -16  Highway Robbery
   -2.00       8x         -16  Fiery Temper
   -2.00       8x         -16  Grab the Prize
   -2.00       4x          -8  Galvanic Discharge
   -2.00       4x          -8  Midnight Guard
   -2.00       4x          -8  Presence of Gond
   -2.00       6x         -12  Dawnbringer Cleric
   -2.03      32x         -65  Plains
   -2.17       6x         -13  Cast into the Fire
   -2.33      12x         -28  Voldaren Epicure
   -2.50       8x         -20  Kor Skyfisher
   -2.60      10x         -26  Candy Trail
   -2.80       5x         -14  Scattershot Archer
   -3.00       4x         -12  Rally at the Hornburg
   -3.00       4x         -12  Reckless Impulse
   -3.00       8x         -24  Urza's Power Plant
   -3.00       8x         -24  Bramble Wurm
   -3.00       8x         -24  Expedition Map
   -3.00       4x         -12  Great Furnace
   -3.00       4x         -12  Goblin Tomb Raider
   -3.00       4x         -12  Goblin Bushwhacker
   -3.00       8x         -24  Urza's Tower
   -3.00       8x         -24  Urza's Mine
   -3.00       4x         -12  Burning-Tree Emissary
   -3.00       4x         -12  Searing Blaze
   -3.00       4x         -12  Smash to Smithereens
   -3.00       4x         -12  Kessig Flamebreather
   -3.00       4x         -12  Lava Dart
   -3.00       4x         -12  Experimental Synthesizer
   -3.00       4x         -12  Fireblast
   -3.00       4x         -12  Clockwork Percussionist
   -3.56       9x         -32  Relic of Progenitus
   -4.00       4x         -16  Novice Inspector
   -4.00       4x         -16  Battle Screech
   -4.00       4x         -16  Thraben Inspector
   -4.00       4x         -16  Raffine's Informant
   -6.00       4x         -24  Maelstrom Colossus
   -6.00       4x         -24  Ancient Stirrings
   -6.00       4x         -24  Pinnacle Kill-Ship
   -6.00       4x         -24  Boulderbranch Golem
